index,l(w),l(x),l(y),l(xy),l(yx),l(y*x),l(y\lefttriangle x),\mu_1,\mu_2,\mu_3,\mu_4,\mu_5,\delta(x_12),\delta(x_13),\delta(x_14),\delta(x_15),\delta(x_23),\delta(x_24),\delta(x_25),\delta(x_34),\delta(x_35),\delta(x_45),\delta(y^-1_12),\delta(y^-1_13),\delta(y^-1_14),\delta(y^-1_15),\delta(y^-1_23),\delta(y^-1_24),\delta(y^-1_25),\delta(y^-1_34),\delta(y^-1_35),\delta(y^-1_45),dimension,components
129,65,7,4,7,5,9,0,6,5,-2,-4,-5,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,35,7
130,53,6,5,7,5,9,1,5,2,1,-2,-6,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,29,1
131,57,6,5,7,5,9,1,6,2,1,-4,-5,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,31,1
132,37,3,10,7,7,10,7,5,2,-1,-2,-4,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,21,3
133,37,4,9,7,7,10,6,4,3,-1,-2,-4,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,21,3
134,35,6,7,7,7,10,2,4,2,-1,-2,-3,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,21,8
135,33,6,1,7,5,6,0,3,1,0,-1,-3,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,19,2
136,59,6,1,7,5,6,0,5,3,0,-2,-6,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,32,4
137,51,4,9,7,7,10,6,5,3,1,-3,-6,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,29,15
138,39,6,7,7,7,10,3,6,0,-1,-2,-3,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,23,1
139,51,5,8,7,5,9,4,6,2,0,-3,-5,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,28,2
140,39,2,7,7,5,7,5,4,3,0,-3,-4,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,22,2
141,47,1,8,7,7,8,7,5,4,-1,-3,-5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,26,5
142,45,4,9,7,7,10,6,5,3,-1,-2,-5,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,26,8
143,57,5,4,7,9,9,1,6,2,0,-2,-6,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,33,100
144,33,7,6,7,7,10,1,3,2,0,-2,-3,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,20,6
145,49,1,6,7,7,7,6,6,2,0,-3,-5,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,28,27
146,35,4,9,7,7,10,6,3,2,1,0,-6,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,20,6
147,51,3,4,7,7,7,3,6,1,0,-1,-6,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,29,6
148,43,1,8,7,7,8,7,4,3,2,-4,-5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,24,1
149,65,8,5,7,7,10,0,6,5,-2,-4,-5,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,36,55
150,49,5,6,7,9,10,2,5,3,-1,-2,-5,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,29,100
151,55,7,6,7,7,10,1,6,2,0,-3,-5,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,31,42
152,51,6,7,7,7,10,3,6,1,0,-1,-6,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,29,35
153,45,3,6,7,5,7,4,4,3,1,-3,-5,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,25,1
154,65,5,6,7,9,10,5,6,4,1,-5,-6,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,37,220
155,59,7,4,7,7,9,2,5,4,-1,-2,-6,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,33,31
156,47,2,5,7,7,7,5,5,4,-2,-3,-4,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,27,27
157,59,6,3,7,7,8,1,5,3,1,-3,-6,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,33,38
158,69,6,1,7,7,7,1,6,4,0,-4,-6,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,38,60
159,51,9,4,7,7,10,0,4,2,1,-1,-6,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,29,21
160,49,3,4,7,7,7,3,6,1,0,-2,-5,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,28,13
161,45,2,5,7,7,7,5,6,1,0,-3,-4,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,26,20
162,67,7,0,7,7,7,0,6,3,0,-3,-6,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,37,64
163,43,4,3,7,7,7,3,4,2,1,-3,-4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,25,10
164,63,6,3,7,7,8,1,6,3,0,-3,-6,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,35,56
165,41,9,4,7,7,10,0,4,2,-1,-2,-3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,23,5
166,67,5,2,7,7,7,1,6,3,2,-5,-6,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,36,9
167,37,1,6,7,7,7,6,4,2,1,-3,-4,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,22,5
168,33,4,9,7,5,9,5,3,2,1,-1,-5,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,19,1
169,45,5,4,7,5,7,2,4,3,0,-3,-4,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,25,3
170,51,8,5,7,5,10,1,6,1,0,-3,-4,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,28,4
171,33,3,6,7,5,7,4,4,1,0,-1,-4,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,19,1
172,57,4,3,7,5,6,2,5,4,-1,-2,-6,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,31,6
